dynamics,tau,alpha,k_equivalent,tracking_mse,tracking_rmse,tracking_mse_sd,tracking_mse_se,n_games,n_replications
ou,50,0.2834203801582724,49.235162864663835,0.5214022758994822,0.7220819038720484,0.01717137596269667,0.005430065860118798,40000,10
ou,50,0.3424606833431912,59.491514017905914,0.5009036349491115,0.7077454591511778,0.015293573803562574,0.004836252678314228,40000,10
ou,50,0.4137998811884742,71.88440200495022,0.49286790352861304,0.7020455138583346,0.013944521783867802,0.0044096449718856465,40000,10
ou,50,0.5,86.85889638065036,0.4993913965456861,0.7066763025216609,0.013084855879968256,0.004137794743574647,40000,10
ou,100,0.0025,0.43429448190325176,1.4344058885866378,1.197666852086438,0.0715897119822974,0.022638654689950757,40000,10
ou,100,0.003020783854286946,0.5247639035757029,1.419753753493022,1.191534201562432,0.0716268395578338,0.022650395460220258,40000,10
ou,100,0.003650054037728276,0.6340793308936296,1.4027022214587075,1.1843573031221226,0.0712271881383009,0.022524014584635908,40000,10
ou,100,0.004410409721777782,0.7661666420402187,1.3828654676024208,1.175953003993961,0.07037005544691875,0.022252965428460135,40000,10
ou,100,0.005329157791334604,0.9257695287873359,1.3598055349473435,1.1661069997849012,0.0690368934941943,0.021831382602411433,40000,10
ou,100,0.006439293525204423,1.1186198581406475,1.3330521971308105,1.1545787964148704,0.06719804988871932,0.02124988919699773,40000,10
ou,100,0.007780685565580791,1.3516435226224077,1.3021424727833568,1.1411145747835125,0.06480696646387492,0.0204937622271993,40000,10
ou,100,0.009401507732715982,1.633209171955721,1.2666760692006593,1.1254670449198676,0.061809032712512424,0.01954573233433946,40000,10
ou,100,0.011359969105976928,1.9734287589268786,1.226372661863996,1.1074171128639814,0.05816485578365634,0.0183933424051572,40000,10
ou,100,0.013726404504213443,2.3845206930207357,1.1811154489557716,1.086791354840372,0.05387896095266959,0.017038023457371147,40000,10
ou,100,0.016585800441495827,2.881248643876062,1.1309768819164856,1.0634739686125305,0.0490197245026547,0.015501397970235347,40000,10
ou,100,0.020040847273638366,3.481451753442788,1.076235397547179,1.0374176582009673,0.043719847147038644,0.013825429593905656,40000,10
ou,100,0.024215627148174927,4.206685298511579,1.0173914178355847,1.0086582264749466,0.03815839080358018,0.012066742678613613,40000,10
ou,100,0.029260070204255792,5.082994811924018,0.9551777358387665,0.9773319476200328,0.03253565346679045,0.010288677011701133,40000,10
ou,100,0.03535533905932737,6.141851463713753,0.8905504383818051,0.9436897998716555,0.027053126487915854,0.008554949753044574,40000,10
ou,100,0.04272033495730271,7.421282294806062,0.8246525062279801,0.9081037970562507,0.021906605156405183,0.006927476809622953,40000,10
ou,100,0.05161955923550008,8.96723589370229,0.7587553747458375,0.8710656546700929,0.017296475047164597,0.005469625664130842,40000,10
ou,100,0.06237261244160289,10.835232562111297,0.6941907725581207,0.8331811162995238,0.01345007842473432,0.004253288253005004,40000,10
ou,100,0.07536567224531646,13.092358232427998,0.6322839497166125,0.7951628447787362,0.010625803097166138,0.003360173975551645,40000,10
ou,100,0.09106536235445348,15.819673745223703,0.574296752509101,0.7578236948717696,0.009016716675062,0.002851336170961627,40000,10
ou,100,0.11003551051404936,19.115126011863556,0.5213883254887454,0.7220722439539865,0.008517910453222213,0.002693599793753932,40000,10
ou,100,0.1329573974236247,23.09706561171913,0.4745998552048022,0.6889120808962507,0.008685630889401951,0.00274663765260242,40000,10
ou,100,0.16065422377811936,27.908497152514965,0.4348657052937382,0.6594434815006803,0.009065021645636133,0.002866611543893794,40000,10
ou,100,0.1941206741247779,33.722215038292155,0.403048827006634,0.6348612659523607,0.009406282150660332,0.0029745275910273744,40000,10
ou,100,0.23455863927177067,40.74700908738615,0.3799969227408533,0.6164389043050846,0.00963809633985661,0.003047833674207918,40000,10
ou,100,0.2834203801582724,49.235162864663835,0.36661794095183114,0.6054898355479067,0.009789491945250913,0.003095709168286525,40000,10
ou,100,0.3424606833431912,59.491514017905914,0.36397666236265447,0.6033047839712979,0.00993294211794927,0.0031410720959336564,40000,10
ou,100,0.4137998811884742,71.88440200495022,0.37341650305978297,0.6110781480791004,0.010147230186266416,0.0032088359330616507,40000,10
ou,100,0.5,86.85889638065036,0.39671294026232395,0.6298515223942258,0.010496431792250176,0.0033192631768113874,40000,10
ou,200,0.0025,0.43429448190325176,1.4598288829396784,1.2082337865411967,0.1627918562156512,0.05147930501680967,40000,10
ou,200,0.003020783854286946,0.5247639035757029,1.4299078889206762,1.195787560112864,0.15624678053666446,0.04940957035643256,40000,10
ou,200,0.003650054037728276,0.6340793308936296,1.3955020437831034,1.1813136940639872,0.14863398710636078,0.04700219369681996,40000,10
ou,200,0.004410409721777782,0.7661666420402187,1.3563682211797912,1.16463222571754,0.1401303330880547,0.04431310218363092,40000,10
ou,200,0.005329157791334604,0.9257695287873359,1.3123239878410091,1.1455671031593955,0.13092583098306237,0.04140238304567192,40000,10
ou,200,0.006439293525204423,1.1186198581406475,1.2632748426428706,1.1239550002748644,0.12122435522945947,0.038334507041043554,40000,10
ou,200,0.007780685565580791,1.3516435226224077,1.2092582946752377,1.0996628095353764,0.11125913993037005,0.03518322926913569,40000,10
ou,200,0.009401507732715982,1.633209171955721,1.1504901076263174,1.0726090189935555,0.10129589302692377,0.03203257395858469,40000,10
ou,200,0.011359969105976928,1.9734287589268786,1.0873987383747319,1.0427841283672914,0.0916074061789536,0.02896880540656757,40000,10
ou,200,0.013726404504213443,2.3845206930207357,1.0206412508359135,1.0102679104257017,0.082426523010531,0.0260655552321557,40000,10
ou,200,0.016585800441495827,2.881248643876062,0.9511002887267275,0.9752437073504896,0.07390040442126952,0.02336935979787891,40000,10
ou,200,0.020040847273638366,3.481451753442788,0.8798616189253854,0.9380093917042545,0.06606966767166671,0.02089306340928606,40000,10
